year,week,gross,top_release,releases,long_weekend
1988,34,92684860,A Nightmare on Elm Street 4: The Dream Master,20,false
1988,35,70897358,A Nightmare on Elm Street 4: The Dream Master,22,false
1988,36,65440836,A Nightmare on Elm Street 4: The Dream Master,22,false
1988,37,46505089,Moon Over Parador,27,false
1988,38,37834532,Tucker: The Man and His Dream,24,false
1988,39,39474538,Dead Ringers,27,false
1988,40,50157142,Coming to America,27,false
1988,41,52043635,Alien Nation,21,false
1988,42,36130982,The Accused,23,false
1988,43,53835306,Halloween 4: The Return of Michael Myers,24,false
1988,44,30710403,Halloween 4: The Return of Michael Myers,17,false
1988,45,56044127,Die Hard,20,false
1988,46,52156467,Child's Play,21,false
1988,47,71098734,The Land Before Time,28,false
1988,48,70156321,Scrooged,24,false
1988,49,64963685,The Naked Gun,21,false
1988,50,52188416,Twins,16,false
1988,51,69857037,Twins,20,false
1988,52,105961271,Twins,23,false
1988,53,89945784,Rain Man,21,false
1989,1,67254807,Rain Man,21,false
1989,2,82656628,Rain Man,22,false
1989,3,55732503,Rain Man,23,false
1989,4,77995296,Rain Man,26,false
1989,5,56410544,Rain Man,19,false
1989,6,60375179,The Fly II,16,false
1989,7,80649646,The 'Burbs,20,false
1989,8,59667269,The 'Burbs,22,false
1989,9,56559992,Lean on Me,23,false
1989,10,53792770,Lean on Me,23,false
1989,11,66032992,Fletch Lives,22,false
1989,12,61395419,Fletch Lives,20,false
1989,13,50038486,Rain Man,22,false
1989,14,54350841,Major League,23,false
1989,15,50316758,Major League,23,false
1989,16,76597913,Pet Sematary,27,false
1989,17,57638031,Pet Sematary,24,false
1989,18,50110989,Pet Sematary,21,false
1989,19,48483048,"See No Evil, Hear No Evil",20,false
1989,20,53733930,Indiana Jones and the Last Crusade,21,false
1989,21,96442323,Indiana Jones and the Last Crusade,21,false
1989,22,75270234,Indiana Jones and the Last Crusade,22,false
1989,23,99528062,Star Trek V: The Final Frontier,21,false
1989,24,112732200,Ghostbusters II,17,false
1989,25,155465524,Batman,16,false
1989,26,168188671,Batman,17,false
1989,27,139232849,Lethal Weapon 2,17,false
1989,28,136209694,Lethal Weapon 2,16,false
1989,29,120865663,Lethal Weapon 2,16,false
1989,30,111741247,Turner & Hooch,20,false
1989,31,119918567,Parenthood,23,false
1989,32,112855092,The Abyss,20,false
1989,33,110277116,Uncle Buck,22,false
1989,34,73781726,Uncle Buck,26,false
1989,35,80751593,Uncle Buck,27,false
1989,36,57247520,Uncle Buck,20,false
1989,37,58016084,Sea of Love,21,false
1989,38,54403070,Black Rain,19,false
1989,39,41032987,Black Rain,18,false
1989,40,48762983,Black Rain,21,false
1989,41,71349778,Look Who's Talking,22,false
1989,42,59375604,Look Who's Talking,18,false
1989,43,61691558,Look Who's Talking,23,false
1989,44,56042925,Look Who's Talking,23,false
1989,45,52946573,Look Who's Talking,26,false
1989,46,104147605,Harlem Nights,30,false
1989,47,101015417,Back to the Future Part II,19,false
1989,48,67427370,National Lampoon's Christmas Vacation,16,false
1989,49,63692761,The War of the Roses,19,false
1989,50,67860801,National Lampoon's Christmas Vacation,23,false
1989,51,94609252,National Lampoon's Christmas Vacation,26,false
1989,52,102371231,The War of the Roses,24,false
1990,1,84353473,Born on the Fourth of July,22,false
1990,2,88048783,Born on the Fourth of July,22,false
1990,3,62198833,Born on the Fourth of July,22,false
1990,4,67687678,Driving Miss Daisy,22,false
1990,5,56434562,Driving Miss Daisy,22,false
1990,6,57374824,Hard to Kill,23,false
1990,7,76793800,Driving Miss Daisy,27,false
1990,8,66033093,Look Who's Talking,28,false
1990,9,71442470,The Hunt for Red October,21,false
1990,10,66781945,The Hunt for Red October,22,false
1990,11,72685920,The Hunt for Red October,23,false
1990,12,70769775,Pretty Woman,23,false
1990,13,102086501,Teenage Mutant Ninja Turtles,22,false
1990,14,102260148,Teenage Mutant Ninja Turtles,22,false
1990,15,83706017,Teenage Mutant Ninja Turtles,19,false
1990,16,57862756,Teenage Mutant Ninja Turtles,21,false
1990,17,67537704,Pretty Woman,22,false
1990,18,61428280,Pretty Woman,24,false
1990,19,41293971,Pretty Woman,23,false
1990,20,61014189,Bird on a Wire,18,false
1990,21,81429867,Back to the Future Part III,14,false
1990,22,88150127,Total Recall,16,false
1990,23,84373719,Another 48 Hrs.,14,false
1990,24,116614892,Dick Tracy,15,false
1990,25,112530872,Dick Tracy,15,false
1990,26,118849978,Days of Thunder,14,false
1990,27,124324702,Die Hard 2,14,false
1990,28,127799394,Die Hard 2,17,false
1990,29,118299121,Ghost,20,false
1990,30,122893739,Presumed Innocent,21,false
1990,31,127164287,Ghost,23,false
1990,32,108592216,Flatliners,21,false
1990,33,119106347,Ghost,23,false
1990,34,107915050,Darkman,25,false
1990,35,71049947,Ghost,20,false
1990,36,48559641,Ghost,21,false
1990,37,70255636,Postcards from the Edge,24,false
1990,38,65298324,Goodfellas,23,false
1990,39,60503544,Pacific Heights,21,false
1990,40,62510936,Marked for Death,21,false
1990,41,62645144,Marked for Death,27,false
1990,42,58692698,Marked for Death,23,false
1990,43,55582771,Graveyard Shift,21,false
1990,44,61884378,Jacob's Ladder,25,false
1990,45,57909880,Child's Play 2,21,false
1990,46,104010800,Home Alone,27,false
1990,47,105840986,Home Alone,20,false
1990,48,69180041,Home Alone,16,false
1990,49,61709591,Home Alone,15,false
1990,50,78717698,Home Alone,17,false
1990,51,133728984,Home Alone,26,false
1990,52,157095225,Home Alone,24,false
1991,1,91188365,Home Alone,22,false
1991,2,88240534,Home Alone,23,false
1991,3,93550923,Home Alone,28,false
1991,4,81567843,Home Alone,26,false
1991,5,75281491,Home Alone,26,false
